GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
54891	1	0.58	0.868	-0.5538167	-0.480447	476.49	INO80D	INO80 complex subunit D
4719	1	0.611	0.856	0.5087194	0.43553	506.14	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1
1933	1	0.116	0.787	1.5696371	1.234582	1341.42	EEF1B2	eukaryotic translation elongation factor 1 beta 2
57683	1	0.422	0.976	-0.8033304	-0.784029	129.13	ZDBF2	zinc finger DBF-type containing 2
8745	1	0.974	1.38	0.0321534	0.044371	244.2	ADAM23	ADAM metallopeptidase domain 23
22868	1	0.462	0.911	-0.7348768	-0.669767	190.25	FASTKD2	FAST kinase domains 2
130749	1	0.757	1.565	-0.3095194	-0.484542	25.15	CPO	carboxypeptidase O
1385	1	0.554	0.845	-0.5925069	-0.500474	493.3	CREB1	cAMP responsive element binding protein 1
151194	1	0.811	1.189	0.2390542	0.284145	61.77	METTL21A	methyltransferase 21A, HSPA lysine
151195	1	0.955	0.966	0.0560253	0.054127	172.32	CCNYL1	cyclin Y like 1
7855	1	0.914	1.022	0.1085702	0.111011	139.65	FZD5	frizzled class receptor 5
389072	1	0.59	0.932	-0.5386928	-0.502277	183.49	PLEKHM3	pleckstrin homology domain containing M3
3417	1	0.107	0.856	1.6112986	1.379567	413.06	IDH1	isocitrate dehydrogenase (NADP(+)) 1
200576	1	0.77	0.852	-0.2928107	-0.249612	385.68	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing
5746	1	0.454	1.719	-0.7486319	-1.287258	20.34	PTH2R	parathyroid hormone 2 receptor
4133	1	0.319	1.131	-0.9974643	-1.12859	240.9	MAP2	microtubule associated protein 2
6120	1	0.693	0.876	-0.3951022	-0.346187	244.5	RPE	ribulose-5-phosphate-3-epimerase
151050	1	0.397	0.98	-0.8468792	-0.830067	121.18	KANSL1L	KAT8 regulatory NSL complex subunit 1 like
101928020	1	0.731	1.819	-0.3431888	-0.624339	17.97	KANSL1L-AS1	KANSL1L antisense RNA 1
10314	1	0.801	0.87	0.2522591	0.219482	264.95	LANCL1	LanC like glutathione S-transferase 1
22807	1	0.813	0.993	0.2365045	0.234901	266.08	IKZF2	IKAROS family zinc finger 2
79582	1	0.801	1.048	-0.2524154	-0.264439	89.87	SPAG16	sperm associated antigen 16
580	1	0.287	1.074	1.0652697	1.14409	214.16	BARD1	BRCA1 associated RING domain 1
471	1	0.148	1.007	1.4459328	1.456087	186.41	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
2335	1	0.325	0.756	-0.9846035	-0.744184	11531.68	FN1	fibronectin 1
112268430	1	0.23	0.86	-1.2010176	-1.032364	267.96	LOC112268430	
105373869	1	0.588	1.152	-0.5410833	-0.623254	61.83	LINC01614	long intergenic non-protein coding RNA 1614
55686	1	0.209	0.893	-1.255718	-1.12091	250.65	MREG	melanoregulin
55825	1	0.382	1.34	0.8746355	1.171828	39.49	PECR	peroxisomal trans-2-enoyl-CoA reductase
7520	1	0.745	0.849	0.3258498	0.276782	1479.55	XRCC5	X-ray repair cross complementing 5
50485	1	0.988	1.178	0.0149524	0.017616	80.57	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1
100507554	1	0.322	0.967	0.9905322	0.957876	156.06	RPL37A-DT	RPL37A divergent transcript
6168	1	0.282	0.822	1.0767787	0.885296	1239.98	RPL37A	ribosomal protein L37a
3485	1	0.519	0.942	-0.6455959	-0.607996	780.16	IGFBP2	insulin like growth factor binding protein 2
7145	1	0.363	0.825	0.9097491	0.750245	647.67	TNS1	tensin 1
10109	1	0.993	0.826	0.0091133	0.007525	1225.73	ARPC2	actin related protein 2/3 complex subunit 2
14	1	0.375	0.952	0.8874423	0.844897	295.02	AAMP	angio associated migratory cell protein
25953	1	0.967	1.053	0.0410615	0.043235	91.19	PNKD	PNKD metallo-beta-lactamase domain containing
64114	1	0.852	0.926	-0.1860995	-0.172322	748.21	TMBIM1	transmembrane BAX inhibitor motif containing 1
6556	1	0.624	1.171	-0.49074	-0.574666	60.3	SLC11A1	solute carrier family 11 member 1
58190	1	0.243	1.033	1.167334	1.206355	197.67	CTDSP1	CTD small phosphatase 1
7429	1	0.906	1.432	0.118519	0.169661	33.94	VIL1	villin 1
57695	1	0.528	0.972	0.6310976	0.613228	246.29	USP37	ubiquitin specific peptidase 37
9125	1	0.632	0.922	0.4784305	0.441215	285.32	CNOT9	CCR4-NOT transcription complex subunit 9
7701	1	0.754	1.06	0.3138029	0.332762	179.54	ZNF142	zinc finger protein 142
617	1	0.82	1.404	0.2281843	0.320465	42.9	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
64320	1	0.883	1.217	0.1472721	0.179285	57.55	RNF25	ring finger protein 25
27148	1	0.643	1.382	-0.4635511	-0.64073	38.65	STK36	serine/threonine kinase 36
9654	1	0.853	1.195	0.1848872	0.220991	67.14	TTLL4	tubulin tyrosine ligase like 4
1593	1	0.658	1.178	-0.442269	-0.520912	74.28	CYP27A1	cytochrome P450 family 27 subfamily A member 1
79840	1	0.581	1.584	0.5513419	0.873468	33.71	NHEJ1	non-homologous end joining factor 1
27013	1	0.807	1.217	0.2441255	0.29716	73.46	CNPPD1	cyclin Pas1/PHO80 domain containing 1
79137	1	0.488	0.902	0.6933466	0.625313	246.21	RETREG2	reticulophagy regulator family member 2
130617	1	0.8	1.423	-0.2531205	-0.360289	49.84	ZFAND2B	zinc finger AN1-type containing 2B
10058	1	0.116	0.918	1.5705117	1.441719	189.18	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)
79065	1	0.448	0.979	0.7579863	0.742366	258.98	ATG9A	autophagy related 9A
55139	1	0.901	1.176	0.1246351	0.146526	101.78	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1
79411	1	0.609	1.491	0.512077	0.763611	52.34	GLB1L	galactosidase beta 1 like
8576	1	0.525	1.248	0.6349931	0.792397	49.71	STK16	serine/threonine kinase 16
3300	1	0.91	1.072	-0.1129054	-0.121056	177.51	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2
23549	1	0.537	1.043	0.6169735	0.643532	120.05	DNPEP	aspartyl aminopeptidase
10290	1	0.62	1.383	-0.495208	-0.684921	38.39	SPEG	striated muscle enriched protein kinase
29926	1	0.91	1.247	0.1124385	0.140182	58.85	GMPPA	GDP-mannose pyrophosphorylase A
79586	1	0.883	0.929	-0.1475318	-0.137102	258.97	CHPF	chondroitin polymerizing factor
23363	1	0.947	1.01	-0.0658544	-0.066517	103.27	OBSL1	obscurin like cytoskeletal adaptor 1
114790	1	0.898	1.278	0.1280908	0.163644	57.21	STK11IP	serine/threonine kinase 11 interacting protein
6508	1	0.89	1.512	0.1384779	0.209418	29.86	SLC4A3	solute carrier family 4 member 3
2043	1	0.951	0.901	-0.0610924	-0.055015	191.69	EPHA4	EPH receptor A4
130367	1	0.679	0.927	0.4137243	0.383369	422.04	SGPP2	sphingosine-1-phosphate phosphatase 2
10056	1	0.878	0.964	0.1531033	0.14757	248.17	FARSB	phenylalanyl-tRNA synthetase subunit beta
2181	1	0.388	0.818	0.8624366	0.705852	561.68	ACSL3	acyl-CoA synthetase long chain family member 3
23704	1	0.69	1.388	0.3982791	0.552691	36.5	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4
130340	1	0.99	1.262	-0.0127074	-0.016036	54.69	AP1S3	adaptor related protein complex 1 subunit sigma 3
57590	1	0.835	0.884	-0.207946	-0.183817	346.6	WDFY1	WD repeat and FYVE domain containing 1
65080	1	0.535	1.041	0.621132	0.646524	99.36	MRPL44	mitochondrial ribosomal protein L44
8452	1	0.952	0.817	-0.0603575	-0.049335	571.87	CUL3	cullin 3
55619	1	0.24	0.89	-1.1759637	-1.046126	207.25	DOCK10	dedicator of cytokinesis 10
57624	1	0.354	1.754	0.9272666	1.626663	33.72	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
3667	1	0.128	0.895	-1.5224946	-1.362814	366.67	IRS1	insulin receptor substrate 1
84236	1	0.547	1.063	-0.6027666	-0.640491	146.88	RHBDD1	rhomboid domain containing 1
56947	1	0.542	0.914	0.6102532	0.557513	268.85	MFF	mitochondrial fission factor
3267	1	0.941	0.91	-0.073425	-0.066843	696.9	AGFG1	ArfGAP with FG repeats 1
55022	1	0.54	1.471	-0.612341	-0.900722	29.6	PID1	phosphotyrosine interaction domain containing 1
9320	1	0.611	0.804	-0.5084711	-0.408598	1548.72	TRIP12	thyroid hormone receptor interactor 12
3431	1	0.842	0.881	-0.1991571	-0.175508	219.32	SP110	SP110 nuclear body protein
11262	1	0.514	1.368	-0.6519033	-0.891912	36.38	SP140	SP140 nuclear body protein
93349	1	0.847	1.056	-0.1928884	-0.203674	89.39	SP140L	SP140 nuclear body protein like
6672	1	0.471	0.844	-0.7204663	-0.608256	431.06	SP100	SP100 nuclear antigen
51719	1	0.333	0.836	-0.9689559	-0.809629	738.37	CAB39	calcium binding protein 39
81618	1	0.922	0.933	-0.0972893	-0.090723	159.98	ITM2C	integral membrane protein 2C
5707	1	0.797	0.836	0.2573393	0.215174	702.57	PSMD1	proteasome 26S subunit, non-ATPase 1
3357	1	0.563	1.629	-0.5787724	-0.943055	23.54	HTR2B	5-hydroxytryptamine receptor 2B
80210	1	0.122	1.033	-1.547945	-1.599251	95.06	ARMC9	armadillo repeat containing 9
93010	1	0.29	1.321	1.0584026	1.397797	49.15	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
4691	1	0.295	0.91	1.047054	0.952969	4989.05	NCL	nucleolin
654321	1	0.211	1.196	1.251372	1.496268	57.1	SNORA75	small nucleolar RNA, H/ACA box 75
25826	1	0.889	1.259	-0.1390644	-0.175109	48.83	SNORD82	small nucleolar RNA, C/D box 82
5757	1	0.137	0.887	1.486154	1.318453	7114.6	PTMA	prothymosin alpha
100302285	1	0.948	0.979	0.0647076	0.063369	135.31	MIR1244-1	microRNA 1244-1
5147	1	0.233	1.189	1.1932421	1.418917	66.21	PDE6D	phosphodiesterase 6D
64708	1	0.8	1.176	0.2535564	0.298307	83.43	COPS7B	COP9 signalosome subunit 7B
129563	1	0.976	1.019	0.0298592	0.030415	139.92	DIS3L2	DIS3 like 3'-5' exoribonuclease 2
200765	1	0.861	1.359	0.1756704	0.238767	37.42	TIGD1	tigger transposable element derived 1
9470	1	0.575	0.915	0.5611618	0.513386	244.83	EIF4E2	eukaryotic translation initiation factor 4E family member 2
26058	1	0.876	0.919	0.1555263	0.142967	668.43	GIGYF2	GRB10 interacting GYF protein 2
3769	1	0.208	1.543	-1.2582615	-1.94199	26.24	KCNJ13	potassium inwardly rectifying channel subfamily J member 13
25791	1	0.931	1.389	0.086304	0.119917	41.2	NGEF	neuronal guanine nucleotide exchange factor
3635	1	0.753	1.006	-0.3148372	-0.316632	115.06	INPP5D	inositol polyphosphate-5-phosphatase D
55054	1	0.6	1.006	-0.5244704	-0.527475	139.79	ATG16L1	autophagy related 16 like 1
677775	1	0.467	0.826	-0.7272517	-0.60092	591.96	SCARNA5	small Cajal body-specific RNA 5
677772	1	0.909	0.906	-0.1140724	-0.103376	224.23	SCARNA6	small Cajal body-specific RNA 6
8527	1	0.922	1.09	0.0979419	0.106719	81.55	DGKD	diacylglycerol kinase delta
55230	1	0.509	0.988	-0.6598577	-0.651698	271.73	USP40	ubiquitin specific peptidase 40
54575	1	0.0739	2.125	1.7872628	3.797065	20.42	UGT1A10	UDP glucuronosyltransferase family 1 member A10
54600	1	0.0739	2.125	1.7872628	3.797065	20.42	UGT1A9	UDP glucuronosyltransferase family 1 member A9
54658	1	0.0883	1.963	1.7047013	3.346741	22.71	UGT1A1	UDP glucuronosyltransferase family 1 member A1
55355	1	0.226	1.135	1.2099664	1.373343	159.98	HJURP	Holliday junction recognition protein
151507	1	0.173	1.763	1.3640941	2.404767	20.72	MSL3P1	MSL complex subunit 3 pseudogene 1
10123	1	0.685	0.853	-0.4061269	-0.346282	383.84	ARL4C	ADP ribosylation factor like GTPase 4C
23677	1	0.371	0.984	0.8954755	0.880946	321.04	SH3BP4	SH3 domain binding protein 4
116987	1	0.648	0.947	0.4563154	0.432286	188.53	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
105373942	1	0.17	1.531	-1.3736608	-2.103105	26.72	LOC105373942	uncharacterized LOC105373942
57007	1	0.854	0.999	0.1843304	0.184081	494.18	ACKR3	atypical chemokine receptor 3
105373991	1	0.804	1.816	-0.2486633	-0.451694	20.5	LOC105373991	replaced by ID 57007
10920	1	0.763	1.024	-0.3018779	-0.309242	104.16	COPS8	COP9 signalosome subunit 8
1293	1	0.171	0.949	-1.3687677	-1.298873	7694.8	COL6A3	collagen type VI alpha 3 chain
9208	1	0.833	0.947	-0.2112836	-0.2	1801.78	LRRFIP1	LRR binding FLII interacting protein 1
100533179	1	0.84	1.185	-0.2019794	-0.239378	58.06	UBE2F-SCLY	UBE2F-SCLY readthrough (NMD candidate)
140739	1	0.427	1.053	-0.7938591	-0.83581	85.83	UBE2F	ubiquitin conjugating enzyme E2 F (putative)
51540	1	0.725	1.834	0.3521578	0.645717	17.89	SCLY	selenocysteine lyase
80895	1	0.745	0.974	0.325113	0.316667	137.82	ILKAP	ILK associated serine/threonine phosphatase
8864	1	0.405	1.103	0.8332037	0.919183	483.77	PER2	period circadian regulator 2
26146	1	0.163	0.96	1.3938207	1.338598	191.39	TRAF3IP1	TRAF3 interacting protein 1
51665	1	0.889	1.125	-0.1400601	-0.157498	73.27	ASB1	ankyrin repeat and SOCS box containing 1
117581	1	0.393	1.553	-0.853786	-1.325973	25.15	TWIST2	twist family bHLH transcription factor 2
9759	1	0.906	0.898	-0.117521	-0.105552	271.8	HDAC4	histone deacetylase 4
4705	1	0.957	0.88	0.0539166	0.047471	454.27	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10
150678	1	0.646	1.064	0.4587249	0.488086	84.61	COPS9	COP9 signalosome subunit 9
2817	1	0.36	0.863	0.9147976	0.789531	1006.55	GPC1	glypican 1
51281	1	0.862	1.195	0.1744059	0.208502	63.14	ANKMY1	ankyrin repeat and MYND domain containing 1
285193	1	0.559	1.649	0.5838817	0.962744	22.93	DUSP28	dual specificity phosphatase 28
57140	1	0.595	0.998	0.5320375	0.53096	138.3	RNPEPL1	arginyl aminopeptidase like 1
79919	1	0.387	1.652	0.8644643	1.428178	41.48	MAB21L4	mab-21 like 4
25992	1	0.961	1.183	-0.0483161	-0.057145	57.7	SNED1	sushi, nidogen and EGF like domains 1
130916	1	0.94	1.078	-0.0758498	-0.081803	94.52	MTERF4	mitochondrial transcription termination factor 4
23178	1	0.525	1.205	0.6350201	0.765448	72.87	PASK	PAS domain containing serine/threonine kinase
5510	1	0.802	1.036	0.2506249	0.259731	175.62	PPP1R7	protein phosphatase 1 regulatory subunit 7
50636	1	0.938	1.393	0.0771568	0.107464	36.34	ANO7	anoctamin 7
3069	1	0.705	0.868	0.3783818	0.328482	2276.4	HDLBP	high density lipoprotein binding protein
101927509	1	0.919	1.076	0.1019164	0.109629	113.54	HDLBP-AS1	HDLBP antisense RNA 1
4735	1	0.9	0.811	0.1256427	0.101845	1278.7	SEPTIN2	septin 2
9855	1	0.73	1.006	-0.3456774	-0.347594	113.54	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2
10494	1	0.634	0.997	0.4759452	0.4744	211.69	STK25	serine/threonine kinase 25
666	1	0.97	1.152	-0.0377972	-0.043525	84.65	BOK	BCL2 family apoptosis regulator BOK
51078	1	0.118	1.003	1.5628477	1.56719	154.25	THAP4	THAP domain containing 4
23192	1	0.832	1.149	0.2116995	0.243156	125.95	ATG4B	autophagy related 4B cysteine peptidase
1841	1	0.658	1.121	0.4427698	0.496363	134.66	DTYMK	deoxythymidylate kinase
84289	1	0.518	1.111	0.646094	0.71813	106.47	ING5	inhibitor of growth family member 5
728294	1	0.789	1.379	-0.2669917	-0.36813	59.76	D2HGDH	D-2-hydroxyglutarate dehydrogenase
728323	1	0.807	1.298	0.2444173	0.317217	44.87	LINC01881	long intergenic non-protein coding RNA 1881
10752	1	0.687	3.24	0.4029381	1.305671	246.95	CHL1	cell adhesion molecule L1 like
152330	1	0.345	1.712	-0.9444338	-1.616682	19.55	CNTN4	contactin 4
51095	1	0.851	1.008	-0.1881028	-0.189648	145.62	TRNT1	tRNA nucleotidyl transferase 1
51185	1	0.989	1.053	-0.0134574	-0.014172	122.41	CRBN	cereblon
285362	1	0.869	0.952	-0.1645523	-0.15665	172.86	SUMF1	sulfatase modifying factor 1
6419	1	0.872	1.132	-0.1613248	-0.182678	65.33	SETMAR	SET domain and mariner transposase fusion gene
3708	1	0.237	0.898	-1.1813515	-1.060826	198.74	ITPR1	inositol 1,4,5-trisphosphate receptor type 1
100507582	1	0.88	1.352	0.1512171	0.204374	53.63	BHLHE40-AS1	BHLHE40 antisense RNA 1
8553	1	0.439	0.944	0.7735136	0.730536	1504.55	BHLHE40	basic helix-loop-helix family member e40
55207	1	0.854	0.82	-0.1845901	-0.151366	819.43	ARL8B	ADP ribosylation factor like GTPase 8B
9695	1	0.99	0.805	0.0129735	0.010438	523.82	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1
107986010	1	0.97	1.823	-0.0379423	-0.069162	18.58	LOC107986010	uncharacterized LOC107986010
29995	1	0.371	0.927	-0.8952433	-0.830069	235.66	LMCD1	LIM and cysteine rich domains 1
56852	1	0.893	1.006	-0.1349338	-0.135797	105.16	RAD18	RAD18 E3 ubiquitin protein ligase
9901	1	0.942	1.017	0.0722634	0.073486	115.95	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3
25917	1	0.827	0.929	0.2181375	0.202752	173.67	THUMPD3	THUMP domain containing 3
440944	1	0.954	1.369	-0.0573881	-0.078537	45.33	THUMPD3-AS1	THUMPD3 antisense RNA 1
55209	1	0.502	0.783	-0.6705715	-0.524786	879.53	SETD5	SET domain containing 5
64419	1	0.735	0.944	-0.3383446	-0.319511	149.97	MTMR14	myotubularin related protein 14
7862	1	0.721	0.957	0.3568033	0.341353	134.17	BRPF1	bromodomain and PHD finger containing 1
4968	1	0.946	1.495	-0.0672722	-0.10054	30.61	OGG1	8-oxoguanine DNA glycosylase
8536	1	0.911	1.477	0.1112696	0.164339	29.08	CAMK1	calcium/calmodulin dependent protein kinase I
10474	1	0.37	0.953	0.8968037	0.854484	211.28	TADA3	transcriptional adaptor 3
10093	1	0.792	0.861	-0.2636226	-0.22687	261.02	ARPC4	actin related protein 2/3 complex subunit 4
100526693	1	0.857	0.916	-0.1799415	-0.164897	168.54	ARPC4-TTLL3	ARPC4-TTLL3 readthrough
26140	1	0.479	1.381	-0.7079893	-0.97778	34.68	TTLL3	tubulin tyrosine ligase like 3
285367	1	0.842	1.316	0.1993807	0.2623	43.65	RPUSD3	RNA pseudouridine synthase D3
84522	1	0.907	1.246	-0.1163693	-0.144993	53.11	JAGN1	jagunal homolog 1
132014	1	0.685	1.409	-0.4051574	-0.570718	41.48	IL17RE	interleukin 17 receptor E
84818	1	0.914	1.046	0.1077234	0.112637	90.75	IL17RC	interleukin 17 receptor C
78987	1	0.905	1.263	0.1187194	0.149924	46.07	CRELD1	cysteine rich with EGF like domains 1
55831	1	0.586	0.968	0.5451408	0.527643	170.76	EMC3	ER membrane protein complex subunit 3
442075	1	0.668	1.355	0.4286539	0.58078	46.05	EMC3-AS1	EMC3 antisense RNA 1
2177	1	0.599	0.977	0.5252251	0.513091	159.15	FANCD2	FA complementation group D2
55845	1	0.77	0.934	0.2920789	0.272704	186.96	BRK1	BRICK1 subunit of SCAR/WAVE actin nucleating complex
7428	1	0.91	0.924	-0.1126389	-0.104073	205.69	VHL	von Hippel-Lindau tumor suppressor
3656	1	0.967	1.187	-0.0407986	-0.048445	81.33	IRAK2	interleukin 1 receptor associated kinase 2
9797	1	0.818	0.929	0.2303513	0.214104	195.94	TATDN2	TatD DNase domain containing 2
6396	1	0.858	0.858	-0.1786061	-0.153232	308.57	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component
3269	1	0.466	1.095	-0.7287061	-0.798131	79.91	HRH1	histamine receptor H1
10533	1	0.474	0.878	-0.7163124	-0.628605	245.9	ATG7	autophagy related 7
9686	1	0.509	0.85	-0.6608687	-0.561912	313.66	VGLL4	vestigial like family member 4
105376952	1	0.39	1.728	-0.8604875	-1.487225	19.04	LOC105376952	replaced by ID 10533
132001	1	0.548	1.121	-0.6001687	-0.672811	68.76	TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog
80746	1	0.602	1.126	0.522126	0.587988	78.67	TSEN2	tRNA splicing endonuclease subunit 2
23609	1	0.88	0.994	0.1508897	0.149965	112.93	MKRN2	makorin ring finger protein 2
5894	1	0.885	0.837	0.1451291	0.121457	367.32	RAF1	Raf-1 proto-oncogene, serine/threonine kinase
6161	1	0.298	0.799	1.0411175	0.831428	933.98	RPL32	ribosomal protein L32
619563	1	0.588	1.066	0.5412862	0.576842	122.32	SNORA7A	small nucleolar RNA, H/ACA box 7A
9922	1	0.453	0.855	-0.7499795	-0.641356	341.5	IQSEC1	IQ motif and Sec7 domain ArfGEF 1
23225	1	0.103	0.889	1.629142	1.448331	328.94	NUP210	nucleoporin 210
79885	1	0.63	1.46	0.4819873	0.703616	32.19	HDAC11	histone deacetylase 11
2199	1	0.431	1.039	-0.7868614	-0.817569	396.03	FBLN2	fibulin 2
7476	1	0.112	1.634	-1.5907165	-2.599192	23.26	WNT7A	Wnt family member 7A
348825	1	0.795	1.103	-0.259969	-0.286656	72.91	TPRXL	tetrapeptide repeat homeobox like (pseudogene)
131474	1	0.18	1.224	1.3405815	1.640478	56.85	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4
79188	1	0.602	0.837	-0.5209988	-0.436049	431.81	TMEM43	transmembrane protein 43
7508	1	0.531	0.889	-0.626228	-0.556933	215.73	XPC	XPC complex subunit, DNA damage recognition and repair factor
27258	1	0.459	0.935	0.7398906	0.691887	213.35	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated
6533	1	0.694	0.894	0.392925	0.351192	232.58	SLC6A6	solute carrier family 6 member 6
80852	1	0.712	0.967	-0.3690162	-0.356887	128.38	GRIP2	glutamate receptor interacting protein 2
51244	1	0.784	1	-0.2743798	-0.274329	116.74	CCDC174	coiled-coil domain containing 174
152273	1	0.778	1.015	-0.281717	-0.286046	103.92	FGD5	FYVE, RhoGEF and PH domain containing 5
100505641	1	0.802	0.865	0.2505304	0.216775	543.82	FGD5-AS1	FGD5 antisense RNA 1
7182	1	0.626	0.848	-0.4879121	-0.413799	303.02	NR2C2	nuclear receptor subfamily 2 group C member 2
64432	1	0.952	0.856	-0.0605081	-0.05181	296.84	MRPS25	mitochondrial ribosomal protein S25
64145	1	0.718	0.931	-0.3614747	-0.336442	164.61	RBSN	rabenosyn, RAB effector
23473	1	0.777	0.924	-0.2832796	-0.261667	210.93	CAPN7	calpain 7
100505696	1	0.605	1.087	-0.5166521	-0.561512	77.52	SH3BP5-AS1	SH3BP5 antisense RNA 1
9467	1	0.54	1.014	-0.6124223	-0.620793	101.33	SH3BP5	SH3 domain binding protein 5
131965	1	0.967	1.096	-0.0415891	-0.045562	83.95	METTL6	methyltransferase 6, methylcytidine
85403	1	0.392	0.939	-0.8568066	-0.804479	207.9	EAF1	ELL associated factor 1
26061	1	0.739	1.09	0.3338314	0.363961	78.24	HACL1	2-hydroxyacyl-CoA lyase 1
686	1	0.466	0.957	0.7296462	0.697955	138.49	BTD	biotinidase
23243	1	0.8	0.876	-0.2535824	-0.222016	326.44	ANKRD28	ankyrin repeat domain 28
101927647	1	0.196	1.704	-1.2929888	-2.203365	21.74	LOC101927647	uncharacterized LOC101927647
117248	1	0.634	1.385	-0.4758712	-0.658895	35.01	GALNT15	polypeptide N-acetylgalactosaminyltransferase 15
285381	1	0.696	1.086	-0.3908553	-0.424604	85.4	DPH3	diphthamide biosynthesis 3
92106	1	0.368	0.855	-0.900182	-0.769519	274.12	OXNAD1	oxidoreductase NAD binding domain containing 1
23180	1	0.282	0.935	-1.0761563	-1.00571	181.22	RFTN1	raftlin, lipid raft linker 1
23228	1	0.533	1.093	-0.6237198	-0.68199	74.04	PLCL2	phospholipase C like 2
9779	1	0.971	0.855	0.036592	0.031285	318.2	TBC1D5	TBC1 domain family member 5
6304	1	0.633	0.949	-0.4776146	-0.453391	159.31	SATB1	SATB homeobox 1
151651	1	0.741	1.554	-0.3302865	-0.513241	25.71	EFHB	EF-hand domain family member B
5868	1	0.656	0.888	-0.4453451	-0.395429	258.87	RAB5A	RAB5A, member RAS oncogene family
151649	1	0.719	1.583	-0.3591414	-0.568621	25.11	PP2D1	protein phosphatase 2C like domain containing 1
8850	1	0.158	0.895	-1.4128538	-1.264061	195.72	KAT2B	lysine acetyltransferase 2B
151648	1	0.868	1.076	0.1663084	0.178952	79.56	SGO1	shugoshin 1
100874028	1	0.938	1.51	0.078338	0.118281	27.3	SGO1-AS1	SGO1 antisense RNA 1
79750	1	0.498	1.651	-0.6769183	-1.117681	21.37	ZNF385D	zinc finger protein 385D
7324	1	0.843	0.983	-0.1982477	-0.194844	148.3	UBE2E1	ubiquitin conjugating enzyme E2 E1
28512	1	0.97	1.062	0.0377619	0.040096	135.34	NKIRAS1	NFKB inhibitor interacting Ras like 1
6138	1	0.34	0.806	0.9535349	0.768591	2548.04	RPL15	ribosomal protein L15
9975	1	0.931	0.835	0.0863804	0.072136	583.19	NR1D2	nuclear receptor subfamily 1 group D member 2
7068	1	0.863	1.351	0.1727281	0.233381	81.21	THRB	thyroid hormone receptor beta
5915	1	0.322	1.242	-0.9913126	-1.231146	51.57	RARB	retinoic acid receptor beta
7155	1	0.522	0.863	0.6406624	0.552816	1208.72	TOP2B	DNA topoisomerase II beta
55768	1	0.808	0.996	0.2430859	0.242072	110.87	NGLY1	N-glycanase 1
54995	1	0.718	1.309	0.3605237	0.472038	43.12	OXSM	3-oxoacyl-ACP synthase, mitochondrial
152110	1	0.519	1.68	-0.6448991	-1.083542	24.16	NEK10	NIMA related kinase 10
9497	1	0.589	0.891	-0.5408795	-0.481717	406.48	SLC4A7	solute carrier family 4 member 7
152100	1	0.917	0.991	-0.1037968	-0.102828	151.41	CMC1	C-X9-C motif containing 1
64343	1	0.667	0.917	-0.4307143	-0.395097	183.14	AZI2	5-azacytidine induced 2
152098	1	0.835	1.562	-0.207817	-0.324714	25.21	ZCWPW2	zinc finger CW-type and PWWP domain containing 2
27303	1	0.214	0.93	-1.2420256	-1.155026	167.1	RBMS3	RNA binding motif single stranded interacting protein 3
7048	1	0.12	0.846	-1.5561804	-1.316702	366.63	TGFBR2	transforming growth factor beta receptor 2
201595	1	0.722	0.801	-0.3558554	-0.28504	955.51	STT3B	STT3 oligosaccharyltransferase complex catalytic subunit B
114884	1	0.533	0.955	-0.624147	-0.596147	157.58	OSBPL10	oxysterol binding protein like 10
344787	1	0.405	1.459	-0.8331144	-1.215263	29.96	ZNF860	zinc finger protein 860
23171	1	0.622	1.171	0.4934228	0.577681	75.34	GPD1L	glycerol-3-phosphate dehydrogenase 1 like
152189	1	0.966	1.525	-0.0424354	-0.064705	34.16	CMTM8	CKLF like MARVEL transmembrane domain containing 8
112616	1	0.271	1.464	-1.1016109	-1.612679	29.61	CMTM7	CKLF like MARVEL transmembrane domain containing 7
54918	1	0.799	0.882	-0.2542428	-0.224249	667.97	CMTM6	CKLF like MARVEL transmembrane domain containing 6
51143	1	0.711	0.862	0.3705497	0.319596	322.86	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1
